TOKEN ( 262,	'FUNC' )
TOKEN ( 271,	'DO' )
TOKEN ( 123,	'{' )
TOKEN ( 266,	'IF' )
TOKEN ( 40,	'(' )
TOKEN ( 260,	'a' )
TOKEN ( 45,	'-' )
TOKEN ( 258,	'3' )
TOKEN ( 41,	')' )
TOKEN ( 267,	'THEN' )
TOKEN ( 260,	'a' )
TOKEN ( 261,	':=' )
TOKEN ( 260,	'a' )
TOKEN ( 45,	'-' )
TOKEN ( 258,	'1' )
TOKEN ( 268,	'ELSE' )
TOKEN ( 123,	'{' )
TOKEN ( 260,	'a' )
TOKEN ( 261,	':=' )
TOKEN ( 260,	'a' )
TOKEN ( 45,	'-' )
TOKEN ( 258,	'1' )
TOKEN ( 263,	'PRINT' )
TOKEN ( 259,	'"Skip..."' )
TOKEN ( 265,	'CONTINUE' )
TOKEN ( 125,	'}' )
TOKEN ( 269,	'FI' )
TOKEN ( 263,	'PRINT' )
TOKEN ( 260,	'a' )
TOKEN ( 125,	'}' )
TOKEN ( 272,	'DONE' )
TOKEN ( 264,	'RETURN' )
TOKEN ( 258,	'0' )
TOKEN ( 125,	'}' )
 PROGRAM
 FUNCTION_LIST
  FUNCTION
   VARIABLE("main")
   NULL_STATEMENT
   STATEMENT
    BLOCK
     DECLARATION_LIST
      NULL_STATEMENT
      DECLARATION
       VARIABLE("a")
     STATEMENT_LIST
      STATEMENT_LIST
       STATEMENT_LIST
        STATEMENT_LIST
         STATEMENT_LIST
          STATEMENT_LIST
           STATEMENT_LIST
            STATEMENT_LIST
             STATEMENT_LIST
              STATEMENT_LIST
               STATEMENT_LIST
                STATEMENT_LIST
                 STATEMENT_LIST
                  STATEMENT_LIST
                   STATEMENT_LIST
                    STATEMENT_LIST
                     STATEMENT_LIST
                      STATEMENT_LIST
                       PRINT_STATEMENT
                        PRINT_ITEM
                         PRINT_ITEM
                          TEXT
                      PRINT_STATEMENT
                       PRINT_ITEM
                        PRINT_ITEM
                         TEXT
                     PRINT_STATEMENT
                      PRINT_ITEM
                       PRINT_ITEM
                        TEXT
                    ASSIGNMENT_STATEMENT
                     VARIABLE("_a1")
                     PRINT_STATEMENT
                      PRINT_ITEM
                       PRINT_ITEM
                        TEXT
                   ASSIGNMENT_STATEMENT
                    VARIABLE("a_2")
                    ASSIGNMENT_STATEMENT
                     VARIABLE("_a1")
                     PRINT_STATEMENT
                      PRINT_ITEM
                       PRINT_ITEM
                        TEXT
                  ASSIGNMENT_STATEMENT
                   VARIABLE("a")
                   ASSIGNMENT_STATEMENT
                    VARIABLE("a_2")
                    ASSIGNMENT_STATEMENT
                     VARIABLE("_a1")
                     PRINT_STATEMENT
                      PRINT_ITEM
                       PRINT_ITEM
                        TEXT
                 PRINT_STATEMENT
                  PRINT_ITEM
                   PRINT_ITEM
                    PRINT_ITEM
                     PRINT_ITEM
                      PRINT_ITEM
                       EXPRESSION(nil)
                        VARIABLE("_a1")
                      PRINT_ITEM
                       TEXT
                     EXPRESSION(nil)
                      VARIABLE("a_2")
                    PRINT_ITEM
                     TEXT
                   EXPRESSION(nil)
                    VARIABLE("a")
                ASSIGNMENT_STATEMENT
                 VARIABLE("a")
                 PRINT_STATEMENT
                  PRINT_ITEM
                   PRINT_ITEM
                    PRINT_ITEM
                     PRINT_ITEM
                      PRINT_ITEM
                       EXPRESSION(nil)
                        VARIABLE("_a1")
                      PRINT_ITEM
                       TEXT
                     EXPRESSION(nil)
                      VARIABLE("a_2")
                    PRINT_ITEM
                     TEXT
                   EXPRESSION(nil)
                    VARIABLE("a")
               PRINT_STATEMENT
                PRINT_ITEM
                 PRINT_ITEM
                  PRINT_ITEM
                   PRINT_ITEM
                    PRINT_ITEM
                     EXPRESSION(nil)
                      VARIABLE("_a1")
                    PRINT_ITEM
                     TEXT
                   EXPRESSION(nil)
                    VARIABLE("a_2")
                  PRINT_ITEM
                   TEXT
                 EXPRESSION(nil)
                  VARIABLE("a")
              ASSIGNMENT_STATEMENT
               VARIABLE("a")
               PRINT_STATEMENT
                PRINT_ITEM
                 PRINT_ITEM
                  PRINT_ITEM
                   PRINT_ITEM
                    PRINT_ITEM
                     EXPRESSION(nil)
                      VARIABLE("_a1")
                    PRINT_ITEM
                     TEXT
                   EXPRESSION(nil)
                    VARIABLE("a_2")
                  PRINT_ITEM
                   TEXT
                 EXPRESSION(nil)
                  VARIABLE("a")
             PRINT_STATEMENT
              PRINT_ITEM
               PRINT_ITEM
                PRINT_ITEM
                 PRINT_ITEM
                  PRINT_ITEM
                   EXPRESSION(nil)
                    VARIABLE("_a1")
                  PRINT_ITEM
                   TEXT
                 EXPRESSION(nil)
                  VARIABLE("a_2")
                PRINT_ITEM
                 TEXT
               EXPRESSION(nil)
                VARIABLE("a")
            ASSIGNMENT_STATEMENT
             VARIABLE("a")
             PRINT_STATEMENT
              PRINT_ITEM
               PRINT_ITEM
                PRINT_ITEM
                 PRINT_ITEM
                  PRINT_ITEM
                   EXPRESSION(nil)
                    VARIABLE("_a1")
                  PRINT_ITEM
                   TEXT
                 EXPRESSION(nil)
                  VARIABLE("a_2")
                PRINT_ITEM
                 TEXT
               EXPRESSION(nil)
                VARIABLE("a")
           PRINT_STATEMENT
            PRINT_ITEM
             PRINT_ITEM
              PRINT_ITEM
               PRINT_ITEM
                PRINT_ITEM
                 EXPRESSION(nil)
                  VARIABLE("_a1")
                PRINT_ITEM
                 TEXT
               EXPRESSION(nil)
                VARIABLE("a_2")
              PRINT_ITEM
               TEXT
             EXPRESSION(nil)
              VARIABLE("a")
          ASSIGNMENT_STATEMENT
           VARIABLE("a")
           PRINT_STATEMENT
            PRINT_ITEM
             PRINT_ITEM
              PRINT_ITEM
               PRINT_ITEM
                PRINT_ITEM
                 EXPRESSION(nil)
                  VARIABLE("_a1")
                PRINT_ITEM
                 TEXT
               EXPRESSION(nil)
                VARIABLE("a_2")
              PRINT_ITEM
               TEXT
             EXPRESSION(nil)
              VARIABLE("a")
         PRINT_STATEMENT
          PRINT_ITEM
           PRINT_ITEM
            PRINT_ITEM
             PRINT_ITEM
              PRINT_ITEM
               EXPRESSION(nil)
                VARIABLE("_a1")
              PRINT_ITEM
               TEXT
             EXPRESSION(nil)
              VARIABLE("a_2")
            PRINT_ITEM
             TEXT
           EXPRESSION(nil)
            VARIABLE("a")
        IF_STATEMENT
         EXPRESSION(nil)
          EXPRESSION(nil)
           VARIABLE("a")
         PRINT_STATEMENT
          PRINT_ITEM
           EXPRESSION(nil)
            VARIABLE("a")
       WHILE_STATEMENT
        EXPRESSION(nil)
         EXPRESSION(nil)
          VARIABLE("a")
        STATEMENT
         BLOCK
          NULL_STATEMENT
          STATEMENT_LIST
           STATEMENT_LIST
            IF_STATEMENT
             EXPRESSION(nil)
              EXPRESSION(nil)
               VARIABLE("a")
             ASSIGNMENT_STATEMENT
              VARIABLE("a")
              IF_STATEMENT
               EXPRESSION(nil)
                EXPRESSION(nil)
                 VARIABLE("a")
               PRINT_STATEMENT
                PRINT_ITEM
                 EXPRESSION(nil)
                  VARIABLE("a")
             STATEMENT
              BLOCK
               NULL_STATEMENT
               STATEMENT_LIST
                STATEMENT_LIST
                 STATEMENT_LIST
                  ASSIGNMENT_STATEMENT
                   VARIABLE("a")
                   IF_STATEMENT
                    EXPRESSION(nil)
                     EXPRESSION(nil)
                      VARIABLE("a")
                    PRINT_STATEMENT
                     PRINT_ITEM
                      EXPRESSION(nil)
                       VARIABLE("a")
                 PRINT_STATEMENT
                  PRINT_ITEM
                   PRINT_ITEM
                    TEXT
                NULL_STATEMENT
           PRINT_STATEMENT
            PRINT_ITEM
             EXPRESSION(nil)
              VARIABLE("a")
      RETURN_STATEMENT
       INTEGER
